Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
F64_REC00000,2017,Jul,Bihar,Muzaffarpur,NFHS,465171,259,651,2215,472,428,178,154,Medium
F64_REC00001,2017,Jan,Karnataka,Bengaluru,NFHS,191369,262,398,1664,367,181,376,126,High
F64_REC00002,2017,Sep,Karnataka,Mysuru,UNICEF India,267809,113,829,448,1239,383,332,126,Low
F64_REC00003,2017,Jan,Gujarat,Vadodara,UNICEF India,359303,303,304,2298,633,190,266,238,Low
F64_REC00004,2016,Jun,Tamil Nadu,Chennai,HMIS,477660,32,890,650,715,436,115,298,Low
F64_REC00005,2016,Jan,Tamil Nadu,Coimbatore,Doctors For You,177525,85,1215,2423,163,427,230,145,High
F64_REC00006,2017,Sep,Tamil Nadu,Madurai,Smile Foundation,444803,303,776,2213,50,225,366,120,Low
F64_REC00007,2017,Sep,Maharashtra,Nagpur,Smile Foundation,284543,203,608,1397,1375,160,374,149,Low
F64_REC00008,2017,Jul,Karnataka,Bengaluru,Smile Foundation,65261,294,320,2983,1017,47,31,29,Medium
F64_REC00009,2017,Jun,Gujarat,Vadodara,UNICEF India,152655,359,1856,1904,926,287,171,254,Medium
F64_REC00010,2016,Jul,Karnataka,Hubli,WHO India,105911,336,1762,602,1224,334,152,15,Low
F64_REC00011,2016,Apr,West Bengal,Siliguri,WHO India,391957,212,1072,835,546,28,113,232,Medium
F64_REC00012,2016,Jun,West Bengal,Howrah,NFHS,290224,213,1748,1018,839,45,141,112,Low
F64_REC00013,2017,Jul,Karnataka,Bengaluru,CARE India,144068,313,1320,2465,174,292,4,110,Low
F64_REC00014,2017,Sep,Bihar,Patna,HMIS,87049,180,1307,2077,590,477,336,210,Medium
F64_REC00015,2017,Jun,Uttar Pradesh,Lucknow,HMIS,482683,258,1890,1946,1246,26,371,10,High
F64_REC00016,2017,Apr,Maharashtra,Pune,NHM,456296,218,1453,228,489,161,150,190,Low
F64_REC00017,2016,May,Maharashtra,Pune,UNICEF India,275554,300,604,610,346,126,316,31,Low
F64_REC00018,2016,May,Maharashtra,Pune,Doctors For You,390847,175,1114,303,348,45,2,247,Medium
F64_REC00019,2016,Feb,Karnataka,Mysuru,NHM,394978,298,1802,2424,854,224,161,96,Medium
F64_REC00020,2017,Aug,Bihar,Gaya,Doctors For You,60758,247,1577,2312,497,433,377,205,Low
F64_REC00021,2017,Aug,Karnataka,Hubli,Doctors For You,157588,220,259,2927,1420,427,66,44,Medium
F64_REC00022,2017,Aug,Bihar,Patna,Smile Foundation,112031,349,127,1500,169,146,155,222,High
F64_REC00023,2016,Mar,Maharashtra,Nagpur,NFHS,83165,205,1739,2406,1128,412,143,217,Medium
F64_REC00024,2016,Sep,Uttar Pradesh,Varanasi,NHM,55165,321,687,298,894,447,312,4,Medium
F64_REC00025,2017,Sep,Uttar Pradesh,Lucknow,NFHS,427980,348,1125,2662,705,307,319,130,Low
F64_REC00026,2017,Mar,Bihar,Patna,NFHS,160284,332,1633,2826,1033,102,119,269,Low
F64_REC00027,2016,Aug,Gujarat,Ahmedabad,Smile Foundation,128804,203,1122,1196,1046,63,45,12,Low
F64_REC00028,2017,Sep,Gujarat,Surat,WHO India,392241,44,474,294,1021,57,316,22,Medium
F64_REC00029,2017,Mar,Maharashtra,Nagpur,UNICEF India,491155,221,1768,2817,1289,35,220,217,High
F64_REC00030,2016,Feb,Uttar Pradesh,Lucknow,UNICEF India,245706,289,889,1659,335,491,245,170,High
F64_REC00031,2016,Jun,Karnataka,Mysuru,Doctors For You,251763,242,1280,1324,1423,91,331,52,Low
F64_REC00032,2016,Jun,Karnataka,Hubli,HMIS,284303,161,379,2063,1074,188,258,61,Medium
F64_REC00033,2016,Apr,Gujarat,Surat,WHO India,221298,151,1978,1082,838,469,322,185,High
F64_REC00034,2017,Jun,Gujarat,Surat,Doctors For You,86167,175,1917,2271,1433,462,21,201,High
F64_REC00035,2017,Mar,Gujarat,Ahmedabad,Smile Foundation,480168,252,1183,1605,157,457,217,211,High
F64_REC00036,2017,Sep,Uttar Pradesh,Lucknow,UNICEF India,374335,100,1093,1439,1200,436,270,185,High
F64_REC00037,2017,Sep,West Bengal,Siliguri,Smile Foundation,100281,352,477,2224,111,363,380,112,High
F64_REC00038,2017,Jan,Karnataka,Hubli,UNICEF India,381904,120,1726,2955,248,72,61,282,Low
