S.No,NGO Name,Address,Email,Phone,Website,Founded Year,Focus Areas,Primary Work/Reports
1,Smile Foundation,"161 B/4 3rd Floor Gulmohar House Yusuf Sarai Community Centre New Delhi - 110049",info@smilefoundationindia.org,+91-11-43123700,www.smilefoundationindia.org,2002,"Education Healthcare Livelihood Women Empowerment Disaster Response","Reaching 25 states across India; 200000+ children educated; Mission Education program impacts underprivileged children"
2,GiveIndia Foundation,"1st Floor Rigel No. 15-19 Doddanekkundi Marathahalli Outer Ring Road Bengaluru Karnataka - 560037",info@giveindia.org,,www.giveindia.org,1999,"Online Donation Platform","700+ crore funneled to 2800+ verified NGOs; 15 million lives touched; India's largest giving platform"
3,CRY (Child Rights and You),"189/A Anand Estate Sane Guruji Marg Mumbai - 400 011",cryinfo.mum@crymail.org,+91-22-40860800,www.cry.org,1979,"Healthcare Nutrition Education Protection from Child Labour & Child Marriage","Reaches 19 states through 102 partner NGOs; 3 million children impacted"
4,Goonj,"J-93 Sarita Vihar New Delhi - 110076",mail@goonj.org,011-26972351,www.goonj.org,1999,"Rural Development Disaster Relief Water & Sanitation Environment","Operations in 23 states; founder Anshu Gupta; turns urban waste into resources for rural development"
5,Nanhi Kali,"K.C. Mahindra Education Trust Cecil Court Near Regal Cinema Mahakavi Bhushan Marg Mumbai - 400001",support@nanhikali.org,+91 22 6897 5500,www.nanhikali.org,1996,"Girls' Education","500000+ girls supported in 14 states; 870000+ girls sponsored for 10 years of formal schooling"
6,CARE India,"Module No. 411 4th Floor NSIC-MDBP Building Okhla Industrial Estate New Delhi 110020",contactus@careindia.org,011 69200000,www.careindia.org,1946,"Poverty Reduction Women & Child Empowerment Health Education Livelihood","Reaches 14 states and 90+ districts"
7,Pratham,"B-4/58 Safdarjung Enclave 2nd Floor New Delhi - 110029",info@pratham.org,011-26716083,www.pratham.org,1994,"Quality Education for Underprivileged Children","Founded by Madhav Chavan and Farida Lambeay; 12A 80G FCRA registered; conducts ASER surveys"
8,HelpAge India,"C-14 Qutab Institutional Area New Delhi - 110016",headoffice@helpageindia.org,1800-180-1253,www.helpageindia.org,1978,"Elder Care Healthcare Advocacy for Senior Citizens","Founded by Mr. Jackson Cole and Samson Daniel; UN Population Award 2020 recipient"
9,Save the Children India,"1st & 2nd Floor Plot No. 91 Sector - 44 Gurgaon (Haryana) - 122003",info@savethechildren.in,,www.savethechildren.in,2008,"Child Protection Health Nutrition Education","CEO Deepak Kapoor; reaches 16 states"
10,Akshaya Patra Foundation,"72 3rd Floor 3rd Main Road Yeshwantpur Industrial Suburb Bengaluru 560022",donorcare@akshayapatra.org,+91 8030143400,www.akshayapatra.org,2000,"Child Nutrition Mid-Day Meals PM POSHAN Initiative","Co-Founder Raj P. Kondur; 2+ million daily meals served to children"
