NGO_ID,NGO_Name,Country,Sector,Focus_Area
1,Global Impact Foundation 1,Australia,Education,Urban Support
2,Global Impact Foundation 2,Australia,Environment,Rural Development
3,Global Impact Foundation 3,USA,Child Welfare,Disaster Relief
4,Global Impact Foundation 4,Kenya,Poverty Relief,Rural Development
5,Global Impact Foundation 5,Kenya,Women Empowerment,Skill Development
6,Global Impact Foundation 6,Brazil,Environment,Community Health
7,Global Impact Foundation 7,Brazil,Human Rights,Rural Development
8,Global Impact Foundation 8,Canada,Human Rights,Community Health
9,Global Impact Foundation 9,Canada,Education,Rural Development
10,Global Impact Foundation 10,India,Environment,Policy Advocacy
11,Global Impact Foundation 11,Germany,Women Empowerment,Urban Support
12,Global Impact Foundation 12,India,Education,Rural Development
13,Global Impact Foundation 13,USA,Child Welfare,Urban Support
14,Global Impact Foundation 14,UK,Child Welfare,Disaster Relief
15,Global Impact Foundation 15,Kenya,Environment,Urban Support
16,Global Impact Foundation 16,UK,Human Rights,Rural Development
17,Global Impact Foundation 17,UAE,Poverty Relief,Community Health
18,Global Impact Foundation 18,Canada,Health,Urban Support
19,Global Impact Foundation 19,South Africa,Education,Community Health
20,Global Impact Foundation 20,South Africa,Human Rights,Rural Development
21,Global Impact Foundation 21,UAE,Women Empowerment,Community Health
22,Global Impact Foundation 22,USA,Environment,Disaster Relief
23,Global Impact Foundation 23,Canada,Poverty Relief,Rural Development
24,Global Impact Foundation 24,India,Women Empowerment,Policy Advocacy
25,Global Impact Foundation 25,Kenya,Women Empowerment,Urban Support
26,Global Impact Foundation 26,USA,Environment,Disaster Relief
27,Global Impact Foundation 27,Brazil,Human Rights,Skill Development
28,Global Impact Foundation 28,UK,Environment,Disaster Relief
29,Global Impact Foundation 29,USA,Women Empowerment,Community Health
30,Global Impact Foundation 30,Kenya,Women Empowerment,Skill Development
31,Global Impact Foundation 31,India,Poverty Relief,Skill Development
32,Global Impact Foundation 32,UK,Human Rights,Rural Development
33,Global Impact Foundation 33,Brazil,Health,Policy Advocacy
34,Global Impact Foundation 34,South Africa,Women Empowerment,Community Health
35,Global Impact Foundation 35,UAE,Health,Policy Advocacy
36,Global Impact Foundation 36,South Africa,Health,Community Health
37,Global Impact Foundation 37,Canada,Poverty Relief,Community Health
38,Global Impact Foundation 38,South Africa,Child Welfare,Disaster Relief
39,Global Impact Foundation 39,Brazil,Poverty Relief,Community Health
40,Global Impact Foundation 40,Australia,Health,Rural Development
