GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,64.71,64.71,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2001,2001,2001,SEAR,South-East Asia,IND,India,,,,20.922673449,20.9,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2005,2005,2005,SEAR,South-East Asia,IND,India,,,,19.53146487,19.5,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,0.4,0.4,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),74.63,74.63,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2004,2004,2004,SEAR,South-East Asia,IND,India,,,,19.852718776,19.9,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2006,2006,2006,SEAR,South-East Asia,IND,India,,,,19.228345084,19.2,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,16.405900591,16.4,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),47.38,47.38,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2021,2021,2021,SEAR,South-East Asia,IND,India,,,,15.947148815,15.9,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2011,2011,2011,SEAR,South-East Asia,IND,India,,,,17.881441287,17.9,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,38.92,38.92,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,43.27,43.27,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2015,2015,2015,SEAR,South-East Asia,IND,India,,,,16.982006056,17.0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.66,0.66,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,61.08,61.08,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,52.57,52.57,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2014,2014,2014,SEAR,South-East Asia,IND,India,,,,17.185789919,17.2,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,16.236161217,16.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,47.72,47.72,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,68.84,68.84,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2002,2002,2002,SEAR,South-East Asia,IND,India,,,,20.547113878,20.5,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2020,2020,2020,SEAR,South-East Asia,IND,India,,,,16.078878857,16.1,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2000,2000,2000,SEAR,South-East Asia,IND,India,,,,21.317738375,21.3,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2012,2012,2012,SEAR,South-East Asia,IND,India,,,,17.637420584,17.6,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2013,2013,2013,SEAR,South-East Asia,IND,India,,,,17.403925332,17.4,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2003,2003,2003,SEAR,South-East Asia,IND,India,,,,20.193821113,20.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,24.13,24.13,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,34.34,34.34,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2010,2010,2010,SEAR,South-East Asia,IND,India,,,,18.136593751,18.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,3.64,3.64,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),52.62,52.62,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2007,2007,2007,SEAR,South-East Asia,IND,India,,,,18.940937308,18.9,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.52,0.52,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,47.1,47.1,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2009,2009,2009,SEAR,South-East Asia,IND,India,,,,18.402337237,18.4,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),25.37,25.37,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,52.9,52.9,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,6.62,6.62,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,16.586913757,16.6,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2016,2016,2016,SEAR,South-East Asia,IND,India,,,,16.780844303,16.8,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.3,0.3,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2015,2015,2015,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,52.28,52.28,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2008,2008,2008,SEAR,South-East Asia,IND,India,,,,18.670371691,18.7,,
