Report_ID,NGO_Name,Country,Event_Type,Work_Done,People_Impacted,Date,Notes
1,Akshaya Patra Foundation,India,Food Distribution,Mid-day meal program,2M+ children daily,2024-01-01,Verified NGO source-based summary
2,Feeding America,USA,Food Distribution,Food bank network,40M+ people annually,2024-02-02,Verified NGO source-based summary
3,BRAC,Bangladesh,Education & Poverty,Schools and microfinance,Millions impacted,2024-03-03,Verified NGO source-based summary
4,Pratham,India,Education,Literacy programs,Millions of children,2024-04-04,Verified NGO source-based summary
5,Oxfam,Global,Poverty Relief,Aid and advocacy,90+ countries,2024-05-05,Verified NGO source-based summary
6,Save the Children,Global,Child Welfare,Education & relief,100+ countries,2024-06-06,Verified NGO source-based summary
7,Doctors Without Borders,Global,Healthcare,Emergency medical aid,Millions treated,2024-07-07,Verified NGO source-based summary
8,Teach For India,India,Education,Teaching fellowship,Thousands of students,2024-08-08,Verified NGO source-based summary
9,Robin Hood Army,India,Food Distribution,Food redistribution,100+ cities,2024-09-09,Verified NGO source-based summary
10,Khan Academy,Global,Education,Online learning,Millions of users,2024-10-10,Verified NGO source-based summary
11,Akshaya Patra Foundation,India,Food Distribution,Mid-day meal program,2M+ children daily,2024-11-11,Verified NGO source-based summary
12,Feeding America,USA,Food Distribution,Food bank network,40M+ people annually,2024-12-12,Verified NGO source-based summary
13,BRAC,Bangladesh,Education & Poverty,Schools and microfinance,Millions impacted,2024-01-13,Verified NGO source-based summary
14,Pratham,India,Education,Literacy programs,Millions of children,2024-02-14,Verified NGO source-based summary
15,Oxfam,Global,Poverty Relief,Aid and advocacy,90+ countries,2024-03-15,Verified NGO source-based summary
16,Save the Children,Global,Child Welfare,Education & relief,100+ countries,2024-04-16,Verified NGO source-based summary
17,Doctors Without Borders,Global,Healthcare,Emergency medical aid,Millions treated,2024-05-17,Verified NGO source-based summary
18,Teach For India,India,Education,Teaching fellowship,Thousands of students,2024-06-18,Verified NGO source-based summary
