Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
F31_REC00000,2015,Jul,Bihar,Patna,HMIS,60162,188,307,2968,687,385,311,146,Low
F31_REC00001,2014,May,Karnataka,Bengaluru,NHM,412938,227,1911,904,1132,224,378,161,High
F31_REC00002,2018,Sep,Karnataka,Bengaluru,WHO India,303269,162,620,2756,769,128,336,239,Low
F31_REC00003,2017,Jul,Bihar,Patna,HMIS,391402,135,630,2712,390,0,37,252,High
F31_REC00004,2017,Jan,West Bengal,Kolkata,Smile Foundation,317564,289,1153,2110,982,217,70,5,Medium
F31_REC00005,2016,May,West Bengal,Kolkata,HMIS,187463,55,1593,2757,1095,351,89,200,Low
F31_REC00006,2016,Feb,Karnataka,Mysuru,NHM,308413,295,204,1332,516,345,185,162,High
F31_REC00007,2014,May,Uttar Pradesh,Varanasi,UNICEF India,308024,374,212,1655,978,272,298,248,Low
F31_REC00008,2015,Aug,Tamil Nadu,Chennai,Smile Foundation,88089,333,441,1070,748,425,321,15,Medium
F31_REC00009,2016,Feb,West Bengal,Siliguri,UNICEF India,443473,168,499,1593,303,476,394,231,Low
F31_REC00010,2017,Jan,Karnataka,Hubli,CARE India,193505,300,106,645,883,231,14,216,High
F31_REC00011,2018,Mar,Karnataka,Bengaluru,CARE India,455377,343,1671,741,697,269,66,272,Medium
F31_REC00012,2018,Sep,Gujarat,Ahmedabad,NFHS,239619,203,474,965,156,374,305,27,High
F31_REC00013,2015,Sep,Bihar,Gaya,NFHS,248768,207,747,2925,787,202,83,205,Low
F31_REC00014,2014,Feb,Uttar Pradesh,Varanasi,UNICEF India,432214,260,538,1140,1272,395,336,186,Medium
F31_REC00015,2014,Sep,Bihar,Patna,NHM,314280,298,524,247,1130,172,303,158,Medium
F31_REC00016,2018,Feb,Gujarat,Vadodara,WHO India,359242,262,272,978,99,289,379,31,Medium
F31_REC00017,2017,Aug,Tamil Nadu,Coimbatore,Doctors For You,358240,132,1784,1976,627,82,205,112,Low
F31_REC00018,2017,May,Uttar Pradesh,Varanasi,NFHS,228329,117,1966,461,90,331,241,54,Low
F31_REC00019,2016,May,Karnataka,Hubli,Smile Foundation,131985,274,680,1389,252,210,36,248,High
F31_REC00020,2018,Feb,Tamil Nadu,Chennai,HMIS,208558,299,1854,1880,457,148,19,204,Low
F31_REC00021,2014,Apr,Bihar,Muzaffarpur,HMIS,204904,355,178,1482,1260,443,37,293,Low
F31_REC00022,2016,Feb,West Bengal,Siliguri,Doctors For You,415897,244,1565,311,368,156,256,290,Low
F31_REC00023,2017,Feb,Gujarat,Surat,Smile Foundation,408635,78,292,687,1238,399,170,247,Low
F31_REC00024,2014,Jan,West Bengal,Kolkata,NFHS,77876,232,981,2424,162,115,73,57,Low
F31_REC00025,2014,Jun,West Bengal,Howrah,Smile Foundation,463892,87,1270,1911,1356,337,355,247,Medium
F31_REC00026,2017,Jan,Tamil Nadu,Coimbatore,NHM,157358,391,1169,2150,541,17,360,150,Medium
F31_REC00027,2016,May,Uttar Pradesh,Varanasi,WHO India,387253,275,1788,1696,1070,4,318,73,Low
F31_REC00028,2015,Jul,Gujarat,Vadodara,NFHS,213705,260,918,593,624,330,400,270,High
F31_REC00029,2015,Sep,Maharashtra,Mumbai,NFHS,266903,337,1652,1662,864,431,266,59,High
F31_REC00030,2018,May,West Bengal,Kolkata,NHM,419451,87,1873,1792,912,363,373,145,Medium
F31_REC00031,2018,Jul,West Bengal,Kolkata,NFHS,228865,326,1314,2699,102,228,145,90,High
F31_REC00032,2014,Jun,Maharashtra,Mumbai,NHM,392687,336,155,1752,909,466,138,86,High
F31_REC00033,2015,Feb,West Bengal,Howrah,Doctors For You,297742,129,1072,633,258,469,275,83,High
F31_REC00034,2017,Sep,Bihar,Muzaffarpur,CARE India,484796,222,1662,2097,392,282,168,267,High
F31_REC00035,2016,Apr,Bihar,Gaya,CARE India,74385,314,169,2817,58,449,201,118,Low
F31_REC00036,2018,Jan,Uttar Pradesh,Varanasi,Smile Foundation,186446,362,1466,269,689,396,14,13,High
F31_REC00037,2018,May,Uttar Pradesh,Varanasi,NFHS,379760,277,1682,2816,1337,138,147,151,Medium
F31_REC00038,2018,Aug,Uttar Pradesh,Lucknow,UNICEF India,443420,310,1975,2009,1262,327,205,266,High
F31_REC00039,2017,Jan,West Bengal,Siliguri,NHM,441486,357,1211,2065,748,432,340,70,Low
