Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%,Dataset_Type
P1_0,2023,Q1,Rajasthan,Jodhpur,TB Control,Kerala Health Department,118337,7352,120,3358,149,166,81,Health_Program
P1_1,2022,Q4,Rajasthan,Udaipur,Maternal Health,Assam NRHM,152645,6122,212,1368,205,190,76,Health_Program
P1_2,2023,Q4,Rajasthan,Jodhpur,Malaria Control,Punjab Health Mission,184249,19316,51,4047,118,115,95,Health_Program
P1_3,2022,Q1,Odisha,Bhubaneswar,Nutrition Program,UNICEF India,281902,49967,117,113,544,170,64,Health_Program
P1_4,2020,Q4,Odisha,Bhubaneswar,TB Control,Kerala Health Department,149839,19457,51,4383,319,195,71,Health_Program
P1_5,2023,Q3,Kerala,Kochi,Child Immunization,Kerala Health Department,296821,37080,141,3674,201,157,81,Health_Program
P1_6,2023,Q4,Rajasthan,Jodhpur,Nutrition Program,CARE India,291536,33910,35,3956,670,51,63,Health_Program
P1_7,2024,Q1,Assam,Dibrugarh,Maternal Health,Kerala Health Department,288306,25166,137,4927,608,153,65,Health_Program
P1_8,2024,Q1,Assam,Silchar,Child Immunization,Kerala Health Department,193833,38559,104,2050,592,104,92,Health_Program
P1_9,2021,Q4,Odisha,Cuttack,Nutrition Program,Kerala Health Department,186253,40812,49,3654,706,25,80,Health_Program
P1_10,2020,Q1,Rajasthan,Jaipur,Maternal Health,NHM Odisha,385125,24157,23,3202,158,173,69,Health_Program
P1_11,2023,Q2,Kerala,Thrissur,Malaria Control,NHM Odisha,346976,11847,244,392,368,45,89,Health_Program
P1_12,2021,Q4,Rajasthan,Udaipur,TB Control,Kerala Health Department,123267,34385,120,432,527,188,67,Health_Program
P1_13,2022,Q2,Assam,Silchar,Nutrition Program,Assam NRHM,89686,31132,196,187,772,157,66,Health_Program
P1_14,2021,Q3,Kerala,Kochi,Child Immunization,Kerala Health Department,365933,48977,225,313,580,127,87,Health_Program
P1_15,2021,Q1,Punjab,Amritsar,Maternal Health,State Health Society Rajasthan,373391,17336,65,555,107,163,73,Health_Program
