Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
FILE9_REC00000,2016,Jul,Gujarat,Ahmedabad,NHM,230644,202,692,944,65,220,243,46,High
FILE9_REC00001,2018,Aug,Karnataka,Hubli,NHM,295036,268,499,819,886,62,184,84,Low
FILE9_REC00002,2018,Mar,Karnataka,Bengaluru,WHO India,136749,171,128,1218,278,399,107,104,Medium
FILE9_REC00003,2017,Mar,Karnataka,Hubli,NHM,229189,131,249,1650,897,265,117,47,Medium
FILE9_REC00004,2018,Aug,Karnataka,Bengaluru,NFHS,206092,58,553,1127,846,291,256,102,Medium
FILE9_REC00005,2018,Jul,Gujarat,Vadodara,NHM,83756,261,440,2406,322,126,167,35,Medium
FILE9_REC00006,2016,Jun,Gujarat,Ahmedabad,NHM,180108,125,601,2054,901,25,227,54,Low
FILE9_REC00007,2016,Aug,Maharashtra,Pune,NFHS,185343,262,1218,2260,467,220,120,125,Low
FILE9_REC00008,2017,Jun,Uttar Pradesh,Lucknow,Smile Foundation,233714,282,781,477,1148,180,134,149,Low
FILE9_REC00009,2017,May,Uttar Pradesh,Agra,HMIS,293375,142,642,1101,625,306,187,189,Low
FILE9_REC00010,2018,Mar,Tamil Nadu,Chennai,UNICEF India,58382,126,1343,2127,645,257,1,186,High
FILE9_REC00011,2017,Apr,Gujarat,Vadodara,NFHS,95952,173,975,357,929,384,221,99,High
FILE9_REC00012,2017,Jan,Maharashtra,Pune,NHM,297468,250,1132,374,939,380,198,72,High
FILE9_REC00013,2016,Jun,Karnataka,Bengaluru,NFHS,188400,97,982,1309,418,257,225,128,Low
FILE9_REC00014,2017,Mar,Karnataka,Hubli,WHO India,134883,246,1130,485,1017,89,161,67,High
FILE9_REC00015,2016,Jan,Gujarat,Vadodara,NHM,74534,258,757,981,629,323,77,135,Low
FILE9_REC00016,2017,Mar,Maharashtra,Nagpur,UNICEF India,239638,65,1369,522,625,40,109,125,High
FILE9_REC00017,2016,Jan,Tamil Nadu,Coimbatore,UNICEF India,256807,117,1128,381,1198,40,300,58,Low
FILE9_REC00018,2018,Apr,Uttar Pradesh,Lucknow,NHM,64879,181,870,1226,900,360,241,200,High
FILE9_REC00019,2016,Apr,Tamil Nadu,Chennai,HMIS,178836,182,1084,1060,817,272,53,64,Medium
FILE9_REC00020,2016,Jul,Karnataka,Mysuru,Smile Foundation,103367,218,893,2268,993,15,106,55,Low
FILE9_REC00021,2018,Mar,Uttar Pradesh,Varanasi,CARE India,171505,175,272,696,57,350,39,41,High
FILE9_REC00022,2018,Apr,Tamil Nadu,Chennai,CARE India,73838,162,1439,1144,371,286,270,28,High
FILE9_REC00023,2017,Mar,Uttar Pradesh,Lucknow,NFHS,199581,127,855,1642,555,356,6,45,High
FILE9_REC00024,2017,Aug,Tamil Nadu,Coimbatore,NHM,167486,134,794,1016,264,8,170,177,Low
FILE9_REC00025,2018,Aug,Karnataka,Bengaluru,WHO India,61803,81,618,552,269,47,71,200,Medium
FILE9_REC00026,2017,Mar,Tamil Nadu,Madurai,NFHS,75309,54,1455,639,666,359,84,19,Low
FILE9_REC00027,2016,Feb,Gujarat,Surat,NHM,111838,248,293,1900,248,55,34,73,Medium
FILE9_REC00028,2016,Feb,Uttar Pradesh,Agra,CARE India,174629,215,789,1577,971,134,34,171,Low
FILE9_REC00029,2017,Jul,Karnataka,Hubli,Smile Foundation,98139,188,939,439,482,326,279,21,Medium
FILE9_REC00030,2017,Jan,Gujarat,Vadodara,Smile Foundation,50409,294,949,749,77,151,226,74,Low
FILE9_REC00031,2018,Jun,Gujarat,Ahmedabad,CARE India,293478,116,595,2112,735,171,109,37,Medium
FILE9_REC00032,2018,Jan,Tamil Nadu,Chennai,WHO India,237145,219,1023,769,1152,363,219,108,High
FILE9_REC00033,2017,Jul,Tamil Nadu,Coimbatore,WHO India,256643,277,1125,2285,1168,340,296,152,High
