Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P21_0,2015,Q4,Rajasthan,Udaipur,TB Control,Kerala Health Department,128521,36596,84,3733,366,120,91
P21_1,2017,Q2,Punjab,Ludhiana,Nutrition Program,State Health Society Rajasthan,91088,40349,75,895,422,113,66
P21_2,2017,Q4,Rajasthan,Jodhpur,Nutrition Program,CARE India,361770,40958,82,3168,148,5,92
P21_3,2015,Q2,Odisha,Puri,Maternal Health,State Health Society Rajasthan,294803,40124,217,4505,713,12,60
P21_4,2015,Q2,Rajasthan,Udaipur,Nutrition Program,CARE India,370590,30213,147,4865,105,44,87
P21_5,2016,Q4,Kerala,Kozhikode,TB Control,Kerala Health Department,200187,25688,156,3010,65,50,80
P21_6,2015,Q4,Punjab,Ludhiana,TB Control,Assam NRHM,259482,19223,130,2496,335,27,95
P21_7,2016,Q1,Assam,Guwahati,Malaria Control,Assam NRHM,310674,7432,223,2011,194,170,86
P21_8,2017,Q3,Punjab,Ludhiana,Child Immunization,Assam NRHM,132788,6168,104,925,561,13,61
P21_9,2016,Q2,Rajasthan,Udaipur,TB Control,CARE India,293584,32284,80,1589,158,46,69
P21_10,2017,Q3,Odisha,Bhubaneswar,Nutrition Program,UNICEF India,87227,38585,54,1510,480,166,76
P21_11,2016,Q1,Kerala,Kochi,Child Immunization,Assam NRHM,274159,43734,20,1299,475,161,95
P21_12,2016,Q3,Punjab,Amritsar,Malaria Control,Kerala Health Department,45518,16356,99,129,271,43,97
P21_13,2016,Q2,Odisha,Puri,TB Control,NHM Odisha,129752,7941,126,4120,559,41,69
P21_14,2015,Q3,Odisha,Cuttack,Child Immunization,Assam NRHM,168517,44416,173,2793,78,70,66
P21_15,2015,Q4,Rajasthan,Udaipur,TB Control,Punjab Health Mission,341808,41668,250,2697,756,151,83
P21_16,2016,Q3,Kerala,Thrissur,Nutrition Program,Assam NRHM,395928,9785,202,4515,103,28,97
P21_17,2016,Q3,Kerala,Thrissur,Child Immunization,Punjab Health Mission,209526,23706,74,1811,130,70,73
P21_18,2015,Q4,Rajasthan,Udaipur,Child Immunization,UNICEF India,344901,22707,66,4460,149,18,87
P21_19,2015,Q2,Punjab,Amritsar,Maternal Health,Assam NRHM,347896,44497,67,2265,279,96,67
P21_20,2015,Q2,Rajasthan,Jaipur,TB Control,State Health Society Rajasthan,254617,22784,30,3770,463,170,69
P21_21,2016,Q3,Punjab,Patiala,TB Control,CARE India,388759,25118,181,3952,371,186,95
P21_22,2017,Q2,Punjab,Ludhiana,Malaria Control,State Health Society Rajasthan,320698,48605,206,3180,645,149,93
P21_23,2016,Q1,Rajasthan,Jaipur,Malaria Control,CARE India,104392,8279,48,914,568,127,91
P21_24,2015,Q2,Odisha,Puri,Nutrition Program,State Health Society Rajasthan,276722,9098,185,2206,176,65,90
P21_25,2015,Q1,Odisha,Bhubaneswar,Nutrition Program,UNICEF India,217888,19637,183,3714,128,133,81
P21_26,2017,Q2,Assam,Silchar,TB Control,State Health Society Rajasthan,168095,17454,204,3612,731,21,84
P21_27,2017,Q2,Kerala,Kozhikode,Maternal Health,Assam NRHM,219010,26145,74,2622,52,20,83
P21_28,2015,Q3,Assam,Silchar,TB Control,State Health Society Rajasthan,124906,36250,211,3256,631,54,94
P21_29,2015,Q2,Assam,Silchar,Nutrition Program,NHM Odisha,337023,47268,80,3221,746,107,64
P21_30,2016,Q2,Assam,Silchar,Nutrition Program,Punjab Health Mission,315044,45411,69,3327,768,173,81
P21_31,2016,Q2,Odisha,Puri,Child Immunization,Assam NRHM,366993,33704,159,3526,74,62,90
P21_32,2016,Q3,Kerala,Thrissur,Child Immunization,State Health Society Rajasthan,132714,6789,125,4419,54,119,98
P21_33,2016,Q2,Odisha,Cuttack,Maternal Health,Kerala Health Department,292843,7062,81,421,409,70,86
P21_34,2017,Q4,Odisha,Puri,Nutrition Program,Assam NRHM,96172,30614,198,3211,591,11,76
P21_35,2016,Q2,Odisha,Puri,Maternal Health,Punjab Health Mission,325181,12933,142,638,493,35,74
P21_36,2015,Q1,Assam,Silchar,Malaria Control,NHM Odisha,339399,8227,164,3742,240,185,78
P21_37,2016,Q4,Odisha,Bhubaneswar,Nutrition Program,UNICEF India,102504,22302,109,398,281,34,95
P21_38,2015,Q3,Assam,Guwahati,Child Immunization,Kerala Health Department,56111,46976,184,4101,645,168,65
P21_39,2017,Q3,Punjab,Ludhiana,TB Control,Kerala Health Department,89836,16311,231,2336,754,194,95
P21_40,2015,Q3,Punjab,Ludhiana,Maternal Health,NHM Odisha,49389,35186,39,3980,244,144,61
P21_41,2017,Q1,Kerala,Kochi,TB Control,Kerala Health Department,343569,24998,99,3077,352,54,64
P21_42,2015,Q2,Rajasthan,Jaipur,Malaria Control,CARE India,122274,8795,39,4072,65,116,80
P21_43,2016,Q3,Rajasthan,Udaipur,Child Immunization,Punjab Health Mission,97621,10906,221,1752,178,128,62
P21_44,2017,Q2,Odisha,Cuttack,TB Control,State Health Society Rajasthan,60372,24213,216,2946,485,104,60
P21_45,2015,Q1,Rajasthan,Jaipur,Child Immunization,Kerala Health Department,136489,34715,161,3431,692,153,87
P21_46,2015,Q2,Assam,Silchar,Maternal Health,Punjab Health Mission,279919,35472,96,4832,650,146,81
