NGO_ID,NGO_Name,Country,Sector,Focus_Area,Website,Email,Priority_Level,Startup_Relevance_Tag
1,Global Impact Foundation 1,Kenya,Poverty Relief,Community Health,www.globalimpactfoundation1.global,contact@globalimpactfoundation1.global,High,Outreach
2,Global Impact Foundation 2,India,Child Welfare,Disaster Relief,www.globalimpactfoundation2.ngo,contact@globalimpactfoundation2.ngo,Low,Outreach
3,Global Impact Foundation 3,Kenya,Human Rights,Disaster Relief,www.globalimpactfoundation3.ngo,contact@globalimpactfoundation3.global,High,Outreach
4,Global Impact Foundation 4,South Africa,Child Welfare,Urban Support,www.globalimpactfoundation4.global,contact@globalimpactfoundation4.foundation,Low,Pilot Testing
5,Global Impact Foundation 5,Australia,Environment,Rural Development,www.globalimpactfoundation5.ngo,contact@globalimpactfoundation5.global,Medium,Funding
6,Global Impact Foundation 6,Brazil,Human Rights,Urban Support,www.globalimpactfoundation6.ngo,contact@globalimpactfoundation6.ngo,Medium,Outreach
7,Global Impact Foundation 7,USA,Women Empowerment,Community Health,www.globalimpactfoundation7.org,contact@globalimpactfoundation7.org,Medium,Outreach
8,Global Impact Foundation 8,Australia,Environment,Rural Development,www.globalimpactfoundation8.ngo,contact@globalimpactfoundation8.ngo,High,Partnership
9,Global Impact Foundation 9,India,Human Rights,Skill Development,www.globalimpactfoundation9.global,contact@globalimpactfoundation9.global,Low,Outreach
10,Global Impact Foundation 10,South Africa,Poverty Relief,Policy Advocacy,www.globalimpactfoundation10.global,contact@globalimpactfoundation10.global,Low,Outreach
11,Global Impact Foundation 11,Australia,Child Welfare,Skill Development,www.globalimpactfoundation11.org,contact@globalimpactfoundation11.global,Medium,Funding
12,Global Impact Foundation 12,Kenya,Poverty Relief,Rural Development,www.globalimpactfoundation12.ngo,contact@globalimpactfoundation12.global,Medium,Pilot Testing
13,Global Impact Foundation 13,Canada,Human Rights,Urban Support,www.globalimpactfoundation13.ngo,contact@globalimpactfoundation13.foundation,Low,Partnership
14,Global Impact Foundation 14,Australia,Human Rights,Urban Support,www.globalimpactfoundation14.foundation,contact@globalimpactfoundation14.ngo,High,Pilot Testing
15,Global Impact Foundation 15,Canada,Education,Urban Support,www.globalimpactfoundation15.org,contact@globalimpactfoundation15.ngo,Medium,Outreach
16,Global Impact Foundation 16,Kenya,Education,Disaster Relief,www.globalimpactfoundation16.foundation,contact@globalimpactfoundation16.global,Low,Pilot Testing
17,Global Impact Foundation 17,Canada,Women Empowerment,Urban Support,www.globalimpactfoundation17.ngo,contact@globalimpactfoundation17.ngo,Low,Pilot Testing
18,Global Impact Foundation 18,India,Women Empowerment,Policy Advocacy,www.globalimpactfoundation18.org,contact@globalimpactfoundation18.foundation,High,Partnership
19,Global Impact Foundation 19,Canada,Education,Community Health,www.globalimpactfoundation19.ngo,contact@globalimpactfoundation19.ngo,Low,Partnership
20,Global Impact Foundation 20,UK,Women Empowerment,Urban Support,www.globalimpactfoundation20.global,contact@globalimpactfoundation20.foundation,Medium,Funding
21,Global Impact Foundation 21,Australia,Environment,Policy Advocacy,www.globalimpactfoundation21.foundation,contact@globalimpactfoundation21.foundation,High,Funding
22,Global Impact Foundation 22,South Africa,Human Rights,Disaster Relief,www.globalimpactfoundation22.global,contact@globalimpactfoundation22.org,High,Outreach
23,Global Impact Foundation 23,UK,Environment,Skill Development,www.globalimpactfoundation23.foundation,contact@globalimpactfoundation23.ngo,Low,Outreach
24,Global Impact Foundation 24,Kenya,Education,Rural Development,www.globalimpactfoundation24.global,contact@globalimpactfoundation24.ngo,Medium,Partnership
25,Global Impact Foundation 25,UAE,Environment,Policy Advocacy,www.globalimpactfoundation25.org,contact@globalimpactfoundation25.global,Medium,Pilot Testing
26,Global Impact Foundation 26,Kenya,Human Rights,Urban Support,www.globalimpactfoundation26.foundation,contact@globalimpactfoundation26.global,Low,Outreach
27,Global Impact Foundation 27,Canada,Health,Policy Advocacy,www.globalimpactfoundation27.global,contact@globalimpactfoundation27.org,Low,Outreach
28,Global Impact Foundation 28,India,Women Empowerment,Community Health,www.globalimpactfoundation28.global,contact@globalimpactfoundation28.global,Medium,Funding
29,Global Impact Foundation 29,India,Education,Rural Development,www.globalimpactfoundation29.ngo,contact@globalimpactfoundation29.foundation,Medium,Partnership
30,Global Impact Foundation 30,India,Education,Policy Advocacy,www.globalimpactfoundation30.foundation,contact@globalimpactfoundation30.global,Low,Funding
31,Global Impact Foundation 31,Brazil,Child Welfare,Policy Advocacy,www.globalimpactfoundation31.ngo,contact@globalimpactfoundation31.global,High,Funding
32,Global Impact Foundation 32,UAE,Child Welfare,Skill Development,www.globalimpactfoundation32.org,contact@globalimpactfoundation32.org,High,Partnership
33,Global Impact Foundation 33,India,Poverty Relief,Skill Development,www.globalimpactfoundation33.ngo,contact@globalimpactfoundation33.org,Medium,Funding
34,Global Impact Foundation 34,Kenya,Child Welfare,Skill Development,www.globalimpactfoundation34.global,contact@globalimpactfoundation34.global,Medium,Funding
35,Global Impact Foundation 35,Germany,Health,Rural Development,www.globalimpactfoundation35.foundation,contact@globalimpactfoundation35.org,High,Pilot Testing
36,Global Impact Foundation 36,South Africa,Education,Rural Development,www.globalimpactfoundation36.foundation,contact@globalimpactfoundation36.ngo,Medium,Outreach
37,Global Impact Foundation 37,Canada,Environment,Policy Advocacy,www.globalimpactfoundation37.foundation,contact@globalimpactfoundation37.ngo,Medium,Outreach
38,Global Impact Foundation 38,Germany,Human Rights,Disaster Relief,www.globalimpactfoundation38.global,contact@globalimpactfoundation38.global,High,Funding
39,Global Impact Foundation 39,UK,Women Empowerment,Policy Advocacy,www.globalimpactfoundation39.foundation,contact@globalimpactfoundation39.ngo,Low,Funding
40,Global Impact Foundation 40,Kenya,Human Rights,Urban Support,www.globalimpactfoundation40.ngo,contact@globalimpactfoundation40.org,High,Funding
41,Global Impact Foundation 41,South Africa,Environment,Policy Advocacy,www.globalimpactfoundation41.ngo,contact@globalimpactfoundation41.foundation,Low,Outreach
42,Global Impact Foundation 42,Germany,Poverty Relief,Disaster Relief,www.globalimpactfoundation42.global,contact@globalimpactfoundation42.org,High,Outreach
