Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
FILE14_REC00000,2021,May,Uttar Pradesh,Lucknow,NHM,296364,70,414,217,488,97,239,158,Medium
FILE14_REC00001,2023,Jan,Gujarat,Ahmedabad,CARE India,124900,89,1492,1718,336,29,188,197,Low
FILE14_REC00002,2021,Jan,Gujarat,Ahmedabad,UNICEF India,53522,69,905,1117,213,363,69,21,Low
FILE14_REC00003,2024,Feb,Tamil Nadu,Chennai,WHO India,119626,114,748,516,432,280,232,12,Low
FILE14_REC00004,2021,Jun,Gujarat,Vadodara,UNICEF India,274447,232,294,2164,106,176,86,70,Low
FILE14_REC00005,2023,Jun,Tamil Nadu,Chennai,Smile Foundation,208280,51,854,393,188,28,119,135,Low
FILE14_REC00006,2022,May,Karnataka,Bengaluru,NFHS,157585,193,1164,1542,445,223,170,102,Low
FILE14_REC00007,2022,Aug,Maharashtra,Pune,WHO India,117514,99,1099,1495,672,363,294,197,Medium
FILE14_REC00008,2022,Jul,Tamil Nadu,Coimbatore,CARE India,276715,240,1277,517,395,84,159,98,Medium
FILE14_REC00009,2022,Apr,Karnataka,Bengaluru,WHO India,150360,53,1375,1265,750,209,78,194,High
FILE14_REC00010,2023,Feb,Uttar Pradesh,Agra,Smile Foundation,159388,126,261,1214,1039,343,208,60,High
FILE14_REC00011,2023,Apr,Tamil Nadu,Chennai,CARE India,67672,106,239,2463,1130,294,134,28,Low
FILE14_REC00012,2021,Aug,Tamil Nadu,Chennai,UNICEF India,111299,58,1155,2463,372,86,135,141,Low
FILE14_REC00013,2021,Apr,Tamil Nadu,Madurai,UNICEF India,143076,281,932,2381,67,346,278,84,High
FILE14_REC00014,2021,Apr,Tamil Nadu,Madurai,NHM,93632,102,728,1482,570,309,92,47,Medium
FILE14_REC00015,2021,May,Karnataka,Bengaluru,NFHS,101098,198,1112,2139,168,191,260,181,High
FILE14_REC00016,2022,Mar,Tamil Nadu,Chennai,CARE India,148527,279,149,1634,104,65,300,56,Medium
FILE14_REC00017,2022,Feb,Karnataka,Hubli,NFHS,98178,117,347,1777,720,159,97,42,Medium
FILE14_REC00018,2023,Jun,Uttar Pradesh,Varanasi,CARE India,114870,265,1322,1382,205,331,250,16,Medium
FILE14_REC00019,2024,Aug,Karnataka,Hubli,Smile Foundation,296375,260,577,1278,582,55,290,120,High
FILE14_REC00020,2023,May,Tamil Nadu,Madurai,HMIS,259901,274,1468,2477,1093,156,44,18,High
FILE14_REC00021,2023,Jul,Karnataka,Hubli,UNICEF India,203839,180,1141,1277,769,114,159,62,High
FILE14_REC00022,2022,Jun,Maharashtra,Nagpur,UNICEF India,120477,72,273,1698,1074,157,237,95,High
FILE14_REC00023,2021,Jul,Karnataka,Bengaluru,WHO India,195562,201,1124,1183,546,159,132,71,Low
FILE14_REC00024,2022,Jan,Tamil Nadu,Madurai,Smile Foundation,291916,266,934,1542,729,230,5,149,High
FILE14_REC00025,2022,Feb,Gujarat,Surat,HMIS,240959,252,660,1416,375,305,214,101,Medium
FILE14_REC00026,2022,Jan,Tamil Nadu,Madurai,CARE India,203421,216,921,1438,138,198,138,33,Medium
FILE14_REC00027,2024,Jan,Maharashtra,Pune,Smile Foundation,291621,58,806,855,139,142,196,147,High
FILE14_REC00028,2021,May,Tamil Nadu,Coimbatore,Smile Foundation,267678,177,189,786,212,258,84,131,Low
FILE14_REC00029,2023,Aug,Maharashtra,Nagpur,HMIS,291439,212,1272,1389,305,142,195,96,Medium
FILE14_REC00030,2021,Mar,Gujarat,Ahmedabad,UNICEF India,230232,220,1166,2479,1136,154,52,70,Medium
FILE14_REC00031,2024,Mar,Tamil Nadu,Coimbatore,NFHS,150548,203,117,214,126,282,201,70,Low
FILE14_REC00032,2024,Apr,Uttar Pradesh,Varanasi,HMIS,168920,282,166,213,954,330,71,82,Medium
FILE14_REC00033,2023,Jul,Karnataka,Bengaluru,NHM,118183,272,608,1645,1193,218,124,38,Low
FILE14_REC00034,2022,May,Uttar Pradesh,Lucknow,WHO India,162863,133,1151,1602,634,40,280,117,Low
FILE14_REC00035,2024,Jan,Maharashtra,Nagpur,WHO India,144402,299,698,548,373,228,300,64,Low
FILE14_REC00036,2023,Jan,Gujarat,Surat,Smile Foundation,141339,143,1000,688,499,76,288,38,Medium
FILE14_REC00037,2021,Aug,Uttar Pradesh,Varanasi,NHM,188543,76,980,1670,900,33,241,46,Medium
FILE14_REC00038,2023,Jun,Uttar Pradesh,Agra,NFHS,205325,131,980,800,516,67,266,62,High
FILE14_REC00039,2022,Feb,Gujarat,Vadodara,CARE India,166204,267,191,1065,429,95,163,119,High
FILE14_REC00040,2024,Feb,Maharashtra,Nagpur,NHM,180231,231,927,467,1122,382,94,38,Low
FILE14_REC00041,2022,Apr,Uttar Pradesh,Agra,NFHS,205010,65,1152,785,963,396,172,122,Low
FILE14_REC00042,2021,Jun,Uttar Pradesh,Varanasi,WHO India,193603,279,889,1927,812,69,240,73,Medium
FILE14_REC00043,2024,May,Karnataka,Hubli,NFHS,202682,225,676,2089,859,1,227,198,Medium
FILE14_REC00044,2021,Aug,Karnataka,Bengaluru,HMIS,222740,112,947,1420,203,367,114,160,Medium
FILE14_REC00045,2022,Jun,Gujarat,Surat,NHM,65911,82,1457,1819,106,78,169,99,High
FILE14_REC00046,2022,Jun,Karnataka,Hubli,WHO India,283364,92,233,341,118,338,63,58,High
FILE14_REC00047,2022,Mar,Maharashtra,Mumbai,WHO India,191524,263,436,1071,128,274,35,168,Low
FILE14_REC00048,2023,May,Maharashtra,Mumbai,HMIS,133969,110,637,661,1024,228,231,101,Low
FILE14_REC00049,2023,Mar,Maharashtra,Pune,HMIS,217654,239,982,757,760,357,230,159,High
FILE14_REC00050,2022,Aug,Gujarat,Vadodara,UNICEF India,128457,121,1212,1180,834,21,276,123,Low
FILE14_REC00051,2023,Aug,Uttar Pradesh,Agra,CARE India,108554,60,205,1978,616,395,102,161,Low
FILE14_REC00052,2021,Feb,Uttar Pradesh,Lucknow,UNICEF India,187371,112,776,1208,1134,303,184,190,Medium
