village_name,problem_type,severity,affected_families,ngo_name,ngo_work,state,district,year,month,population,malaria_cases,dengue_cases,tb_cases
"Surat, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,183,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Surat,2024,Apr,259038,362,233,232
"Pune, Maharashtra",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,79,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Maharashtra,Pune,2025,Sep,404185,31,266,62
"Vadodara, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Medium,219,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Vadodara,2026,Feb,200946,415,350,223
"Howrah, West Bengal",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,High,89,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",West Bengal,Howrah,2022,Jul,421009,43,288,71
"Siliguri, West Bengal",Malaria Cases; Dengue Outbreak; High TB Burden; Low ANC Registrations,Medium,149,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",West Bengal,Siliguri,2025,Jul,112879,190,298,184
"Mumbai, Maharashtra",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,76,NFHS,National Family Health Survey — demographic and health indicators research,Maharashtra,Mumbai,2022,Feb,442720,20,149,173
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,144,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Tamil Nadu,Coimbatore,2024,May,329365,335,88,226
"Patna, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden,Low,163,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Patna,2023,Apr,341130,185,267,282
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,100,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Gaya,2023,Jul,425310,361,58,34
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,94,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Ahmedabad,2023,Apr,431641,287,97,42
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low ANC Registrations,Medium,170,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Uttar Pradesh,Lucknow,2024,Mar,204750,261,348,156
"Patna, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Medium,172,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Bihar,Patna,2023,Jun,415287,260,283,231
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,174,HMIS,Government health data collection and reporting (Health Management Information System),West Bengal,Siliguri,2022,Jun,248026,263,347,174
"Pune, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,High,139,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Pune,2024,Jul,490171,268,261,99
"Patna, Bihar",Malaria Cases; Dengue Cases; High TB Burden; Low Institutional Deliveries,Medium,106,NFHS,National Family Health Survey — demographic and health indicators research,Bihar,Patna,2022,Mar,70605,150,129,202
"Chennai, Tamil Nadu",Malaria Cases; Dengue Outbreak; TB Cases,High,120,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Chennai,2024,Feb,332289,170,289,81
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; TB Cases,High,60,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Mysuru,2022,Aug,142499,141,98,35
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,97,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Bengaluru,2025,Aug,183806,179,54,207
"Gaya, Bihar",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,Low,128,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Gaya,2023,Feb,425174,225,292,63
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; High TB Burden,Low,139,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Karnataka,Bengaluru,2025,Jul,373768,192,198,238
"Mumbai, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,185,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Maharashtra,Mumbai,2025,Jul,475221,453,283,100
"Ahmedabad, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases,Low,94,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Gujarat,Ahmedabad,2023,Apr,137257,108,218,97
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Low,194,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Muzaffarpur,2022,Apr,411573,312,392,170
"Howrah, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,207,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Howrah,2026,Apr,77700,481,228,226
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Medium,163,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Maharashtra,Nagpur,2026,Mar,196961,437,293,6
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,153,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",West Bengal,Siliguri,2025,Mar,310904,314,350,25
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,Medium,185,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Uttar Pradesh,Varanasi,2023,Jun,257411,385,275,176
