record_id,year,month,state,village_name,problem_type,cases,severity,population,affected_families,asha_workers,anc_registrations,immunization,institutional_deliveries,ngo_name,ngo_work
F49_REC00000,2017,Jul,Uttar Pradesh,Lucknow,Malaria,408,Low,498571,110793,147,217,996,1354,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00000,2017,Jul,Uttar Pradesh,Lucknow,Dengue,240,Low,498571,110793,147,217,996,1354,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00000,2017,Jul,Uttar Pradesh,Lucknow,TB,287,Low,498571,110793,147,217,996,1354,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00001,2019,Mar,Uttar Pradesh,Varanasi,Malaria,425,Low,391675,87038,194,1219,2563,769,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00001,2019,Mar,Uttar Pradesh,Varanasi,Dengue,302,Low,391675,87038,194,1219,2563,769,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00001,2019,Mar,Uttar Pradesh,Varanasi,TB,0,Low,391675,87038,194,1219,2563,769,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00002,2018,Mar,Karnataka,Bengaluru,Malaria,21,Medium,404521,89893,193,1808,2331,479,Doctors For You,Emergency medical relief & rural health camps
F49_REC00002,2018,Mar,Karnataka,Bengaluru,Dengue,338,Medium,404521,89893,193,1808,2331,479,Doctors For You,Emergency medical relief & rural health camps
F49_REC00002,2018,Mar,Karnataka,Bengaluru,TB,274,Medium,404521,89893,193,1808,2331,479,Doctors For You,Emergency medical relief & rural health camps
F49_REC00003,2019,Aug,West Bengal,Kolkata,Malaria,264,High,389233,86496,177,236,758,1122,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00003,2019,Aug,West Bengal,Kolkata,Dengue,226,High,389233,86496,177,236,758,1122,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00003,2019,Aug,West Bengal,Kolkata,TB,233,High,389233,86496,177,236,758,1122,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00004,2017,Sep,Tamil Nadu,Coimbatore,Malaria,284,High,347523,77227,100,777,2601,1353,Doctors For You,Emergency medical relief & rural health camps
F49_REC00004,2017,Sep,Tamil Nadu,Coimbatore,Dengue,243,High,347523,77227,100,777,2601,1353,Doctors For You,Emergency medical relief & rural health camps
F49_REC00004,2017,Sep,Tamil Nadu,Coimbatore,TB,143,High,347523,77227,100,777,2601,1353,Doctors For You,Emergency medical relief & rural health camps
F49_REC00005,2018,Mar,Gujarat,Ahmedabad,Malaria,335,Low,411042,91342,75,730,2241,1251,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00005,2018,Mar,Gujarat,Ahmedabad,Dengue,116,Low,411042,91342,75,730,2241,1251,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00005,2018,Mar,Gujarat,Ahmedabad,TB,74,Low,411042,91342,75,730,2241,1251,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00006,2017,Feb,Maharashtra,Mumbai,Malaria,494,Low,225002,50000,368,995,2326,1220,HMIS,Health management information systems & data monitoring
F49_REC00006,2017,Feb,Maharashtra,Mumbai,Dengue,67,Low,225002,50000,368,995,2326,1220,HMIS,Health management information systems & data monitoring
F49_REC00006,2017,Feb,Maharashtra,Mumbai,TB,140,Low,225002,50000,368,995,2326,1220,HMIS,Health management information systems & data monitoring
F49_REC00007,2019,Jul,West Bengal,Siliguri,Malaria,227,Medium,356290,79175,144,1851,2308,1110,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00007,2019,Jul,West Bengal,Siliguri,Dengue,40,Medium,356290,79175,144,1851,2308,1110,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00007,2019,Jul,West Bengal,Siliguri,TB,256,Medium,356290,79175,144,1851,2308,1110,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00008,2019,Jun,Bihar,Gaya,Malaria,112,Low,363450,80766,235,1275,936,115,HMIS,Health management information systems & data monitoring
F49_REC00008,2019,Jun,Bihar,Gaya,Dengue,120,Low,363450,80766,235,1275,936,115,HMIS,Health management information systems & data monitoring
F49_REC00008,2019,Jun,Bihar,Gaya,TB,237,Low,363450,80766,235,1275,936,115,HMIS,Health management information systems & data monitoring
F49_REC00009,2020,Feb,Karnataka,Bengaluru,Malaria,185,High,493810,109735,272,1734,1942,152,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00009,2020,Feb,Karnataka,Bengaluru,Dengue,191,High,493810,109735,272,1734,1942,152,WHO India,"Disease surveillance, immunization programs & policy advisory"
