Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
F60_REC00000,2020,Feb,Gujarat,Surat,UNICEF India,455161,233,1884,2112,794,451,121,217,Low
F60_REC00001,2024,Feb,Uttar Pradesh,Varanasi,NFHS,325349,70,1677,1186,641,343,393,51,High
F60_REC00002,2020,Apr,Maharashtra,Pune,HMIS,172429,321,1136,1613,325,69,188,69,High
F60_REC00003,2024,Apr,Tamil Nadu,Coimbatore,NFHS,177471,366,728,952,507,230,18,276,Medium
F60_REC00004,2023,Jul,Gujarat,Ahmedabad,UNICEF India,64848,90,1918,2367,409,478,91,28,Medium
F60_REC00005,2022,Jul,Uttar Pradesh,Varanasi,HMIS,193880,343,1084,701,846,239,212,102,Medium
F60_REC00006,2020,Apr,Maharashtra,Mumbai,NHM,434025,58,985,2278,350,390,314,96,High
F60_REC00007,2021,Jan,Bihar,Patna,Doctors For You,75789,260,1326,2755,580,79,211,285,High
F60_REC00008,2022,Jun,Tamil Nadu,Coimbatore,Smile Foundation,258801,395,1698,2923,1059,250,109,41,Low
F60_REC00009,2023,Jan,West Bengal,Siliguri,HMIS,436888,55,1940,2697,987,394,329,230,Low
F60_REC00010,2020,Jul,Bihar,Muzaffarpur,Smile Foundation,227349,383,1390,2645,1053,370,400,112,Low
F60_REC00011,2024,May,Gujarat,Surat,UNICEF India,410469,221,573,2816,1018,471,383,22,Low
F60_REC00012,2020,Apr,Bihar,Muzaffarpur,CARE India,404787,139,620,1053,237,448,97,40,High
F60_REC00013,2020,Mar,Bihar,Gaya,NFHS,279833,64,1288,2061,1196,475,215,57,High
F60_REC00014,2020,May,Karnataka,Mysuru,NHM,192629,87,397,809,228,112,347,21,Low
F60_REC00015,2020,Feb,West Bengal,Kolkata,CARE India,371166,237,531,678,403,390,378,279,Low
F60_REC00016,2023,Mar,Gujarat,Vadodara,Smile Foundation,136378,55,486,1518,445,323,88,193,Medium
F60_REC00017,2023,Sep,Uttar Pradesh,Lucknow,CARE India,496256,195,1211,1414,82,428,197,229,Medium
F60_REC00018,2023,Feb,Gujarat,Vadodara,Smile Foundation,466356,339,1573,913,910,241,251,117,Medium
F60_REC00019,2021,Sep,Tamil Nadu,Chennai,NHM,371377,73,1427,2096,349,193,51,184,High
F60_REC00020,2020,Sep,Karnataka,Hubli,NHM,127073,154,1496,666,534,337,358,63,Low
F60_REC00021,2020,Jan,Tamil Nadu,Madurai,NFHS,198040,127,1983,2891,993,285,361,202,Medium
F60_REC00022,2020,May,Karnataka,Mysuru,WHO India,124965,54,1493,2562,1325,169,90,36,High
F60_REC00023,2023,Mar,Maharashtra,Mumbai,HMIS,341293,328,1863,1687,210,38,47,127,Low
F60_REC00024,2023,Apr,Bihar,Gaya,WHO India,147123,138,228,1017,177,304,323,153,Medium
F60_REC00025,2023,Jul,Tamil Nadu,Madurai,WHO India,261306,132,662,2141,1323,477,80,286,Low
F60_REC00026,2021,Sep,Maharashtra,Nagpur,CARE India,382862,369,501,677,1191,412,4,74,Medium
F60_REC00027,2021,Jan,Karnataka,Hubli,Doctors For You,294831,314,1097,1596,405,180,166,27,Medium
F60_REC00028,2023,Feb,Bihar,Gaya,CARE India,493669,82,418,2380,1462,69,172,261,Medium
F60_REC00029,2022,Jan,Bihar,Patna,NFHS,97259,123,914,1502,864,190,190,162,Medium
F60_REC00030,2020,Mar,Karnataka,Mysuru,NFHS,477626,38,695,998,1056,40,287,62,Medium
F60_REC00031,2022,May,Gujarat,Surat,NFHS,291913,396,745,1122,361,175,360,99,Low
F60_REC00032,2023,Jul,Karnataka,Bengaluru,HMIS,106809,227,156,1435,1005,21,216,150,High
F60_REC00033,2021,Jan,Tamil Nadu,Madurai,HMIS,236420,239,1122,212,185,494,66,187,Medium
F60_REC00034,2024,Jan,Uttar Pradesh,Varanasi,NHM,275105,199,1294,1248,946,183,370,54,Medium
F60_REC00035,2022,Mar,Gujarat,Surat,Doctors For You,365960,240,1131,1944,731,59,254,159,High
F60_REC00036,2021,May,Karnataka,Mysuru,CARE India,469156,224,1273,281,1008,63,87,147,Low
F60_REC00037,2023,Jan,Uttar Pradesh,Lucknow,UNICEF India,485056,297,1856,1605,1500,143,225,228,High
F60_REC00038,2021,Jul,Bihar,Patna,HMIS,367319,217,452,881,516,409,33,189,High
F60_REC00039,2020,May,Karnataka,Hubli,HMIS,256383,263,169,1436,586,500,130,199,Low
F60_REC00040,2020,May,Gujarat,Ahmedabad,HMIS,328827,393,444,1445,178,276,139,253,High
F60_REC00041,2020,May,West Bengal,Siliguri,Smile Foundation,169188,110,942,1525,786,375,171,269,Low
F60_REC00042,2022,Jan,Uttar Pradesh,Agra,NHM,72257,114,1411,2214,1064,182,15,271,High
F60_REC00043,2021,Jan,West Bengal,Siliguri,NHM,378085,387,583,1312,1326,458,274,143,Medium
F60_REC00044,2020,Jun,Bihar,Patna,CARE India,205635,148,1712,2648,60,303,157,162,Low
