NGO_ID,NGO_Name,State,Sector,Focus_Area,Image_Search_Link
1,India Community NGO 1,Odisha,Human Rights,Rural Development,https://www.google.com/search?q=India+Community+NGO+1+india+ngo+work&tbm=isch
2,India Community NGO 2,Maharashtra,Poverty Relief,Urban Support,https://www.google.com/search?q=India+Community+NGO+2+india+ngo+work&tbm=isch
3,India Community NGO 3,Karnataka,Education,Education Access,https://www.google.com/search?q=India+Community+NGO+3+india+ngo+work&tbm=isch
4,India Community NGO 4,Uttar Pradesh,Education,Food Distribution,https://www.google.com/search?q=India+Community+NGO+4+india+ngo+work&tbm=isch
5,India Community NGO 5,Uttar Pradesh,Women Empowerment,Education Access,https://www.google.com/search?q=India+Community+NGO+5+india+ngo+work&tbm=isch
6,India Community NGO 6,Delhi,Women Empowerment,Food Distribution,https://www.google.com/search?q=India+Community+NGO+6+india+ngo+work&tbm=isch
7,India Community NGO 7,Bihar,Child Welfare,Food Distribution,https://www.google.com/search?q=India+Community+NGO+7+india+ngo+work&tbm=isch
8,India Community NGO 8,Odisha,Education,Rural Development,https://www.google.com/search?q=India+Community+NGO+8+india+ngo+work&tbm=isch
9,India Community NGO 9,Rajasthan,Human Rights,Healthcare Support,https://www.google.com/search?q=India+Community+NGO+9+india+ngo+work&tbm=isch
10,India Community NGO 10,Delhi,Human Rights,Rural Development,https://www.google.com/search?q=India+Community+NGO+10+india+ngo+work&tbm=isch
11,India Community NGO 11,Gujarat,Health,Rural Development,https://www.google.com/search?q=India+Community+NGO+11+india+ngo+work&tbm=isch
12,India Community NGO 12,Odisha,Women Empowerment,Urban Support,https://www.google.com/search?q=India+Community+NGO+12+india+ngo+work&tbm=isch
13,India Community NGO 13,Uttar Pradesh,Women Empowerment,Rural Development,https://www.google.com/search?q=India+Community+NGO+13+india+ngo+work&tbm=isch
14,India Community NGO 14,Bihar,Environment,Healthcare Support,https://www.google.com/search?q=India+Community+NGO+14+india+ngo+work&tbm=isch
15,India Community NGO 15,Maharashtra,Environment,Rural Development,https://www.google.com/search?q=India+Community+NGO+15+india+ngo+work&tbm=isch
16,India Community NGO 16,Uttar Pradesh,Women Empowerment,Rural Development,https://www.google.com/search?q=India+Community+NGO+16+india+ngo+work&tbm=isch
17,India Community NGO 17,Tamil Nadu,Education,Education Access,https://www.google.com/search?q=India+Community+NGO+17+india+ngo+work&tbm=isch
18,India Community NGO 18,Rajasthan,Education,Healthcare Support,https://www.google.com/search?q=India+Community+NGO+18+india+ngo+work&tbm=isch
19,India Community NGO 19,Delhi,Women Empowerment,Urban Support,https://www.google.com/search?q=India+Community+NGO+19+india+ngo+work&tbm=isch
20,India Community NGO 20,Odisha,Child Welfare,Food Distribution,https://www.google.com/search?q=India+Community+NGO+20+india+ngo+work&tbm=isch
21,India Community NGO 21,West Bengal,Child Welfare,Rural Development,https://www.google.com/search?q=India+Community+NGO+21+india+ngo+work&tbm=isch
22,India Community NGO 22,Bihar,Women Empowerment,Urban Support,https://www.google.com/search?q=India+Community+NGO+22+india+ngo+work&tbm=isch
23,India Community NGO 23,Bihar,Child Welfare,Food Distribution,https://www.google.com/search?q=India+Community+NGO+23+india+ngo+work&tbm=isch
24,India Community NGO 24,Bihar,Health,Rural Development,https://www.google.com/search?q=India+Community+NGO+24+india+ngo+work&tbm=isch
25,India Community NGO 25,Odisha,Human Rights,Rural Development,https://www.google.com/search?q=India+Community+NGO+25+india+ngo+work&tbm=isch
26,India Community NGO 26,Odisha,Education,Urban Support,https://www.google.com/search?q=India+Community+NGO+26+india+ngo+work&tbm=isch
27,India Community NGO 27,Gujarat,Health,Urban Support,https://www.google.com/search?q=India+Community+NGO+27+india+ngo+work&tbm=isch
28,India Community NGO 28,Karnataka,Poverty Relief,Food Distribution,https://www.google.com/search?q=India+Community+NGO+28+india+ngo+work&tbm=isch
29,India Community NGO 29,Rajasthan,Environment,Food Distribution,https://www.google.com/search?q=India+Community+NGO+29+india+ngo+work&tbm=isch
