Record_ID,Year,Month,State,District,Data_Source,Population,ANC_Registrations,Immunization,Malaria_Cases,Dengue_Cases,TB_Cases
REC0001,2024,Apr,Maharashtra,Mumbai,National Health Mission (NHM),146520,144,604,59,122,46
REC0002,2025,May,Uttar Pradesh,Varanasi,CARE India,82155,258,635,138,136,11
REC0003,2022,Apr,Uttar Pradesh,Lucknow,WHO India,141526,495,396,132,117,19
REC0004,2024,Feb,Uttar Pradesh,Lucknow,NFHS Survey,174170,568,490,22,38,14
REC0005,2022,Mar,Karnataka,Mysuru,WHO India,195036,115,1211,16,80,56
REC0006,2024,Mar,Tamil Nadu,Chennai,Doctors For You,115516,574,1203,182,104,86
REC0007,2021,Jun,Maharashtra,Mumbai,NFHS Survey,52343,925,323,130,140,87
REC0008,2024,Jan,Karnataka,Mysuru,CARE India,98988,300,1306,58,36,42
REC0009,2024,Feb,Uttar Pradesh,Varanasi,HMIS Portal India,192940,265,859,190,106,18
REC0010,2023,Jan,Uttar Pradesh,Varanasi,HMIS Portal India,82101,754,1131,199,21,67
REC0011,2025,Jun,Maharashtra,Pune,WHO India,160782,195,954,136,25,79
REC0012,2023,Feb,Uttar Pradesh,Lucknow,HMIS Portal India,147842,671,226,188,131,50
REC0013,2024,Jan,Tamil Nadu,Chennai,NFHS Survey,151401,498,960,3,99,52
REC0014,2022,Apr,Maharashtra,Mumbai,WHO India,163432,472,615,20,125,40
REC0015,2024,Jun,Uttar Pradesh,Varanasi,HMIS Portal India,128767,395,838,22,98,26
REC0016,2024,Mar,Uttar Pradesh,Varanasi,National Health Mission (NHM),183812,643,1303,175,31,55
REC0017,2023,Mar,Maharashtra,Mumbai,Smile Foundation,160238,395,659,106,39,37
REC0018,2025,Jun,Tamil Nadu,Chennai,WHO India,56207,899,201,33,76,76
REC0019,2021,Jun,Tamil Nadu,Chennai,Smile Foundation,188212,166,484,15,114,18
REC0020,2023,Jan,Karnataka,Bengaluru,WHO India,139997,492,609,186,114,15
REC0021,2024,Jun,Maharashtra,Pune,NFHS Survey,172202,613,463,63,131,39
REC0022,2025,Jan,Karnataka,Bengaluru,HMIS Portal India,62597,960,970,118,82,19
REC0023,2021,Feb,Uttar Pradesh,Lucknow,NFHS Survey,82173,1000,1330,5,4,71
REC0024,2024,Feb,Maharashtra,Mumbai,CARE India,132233,956,589,44,119,83
REC0025,2022,Jun,Uttar Pradesh,Lucknow,WHO India,150128,451,222,134,76,59
REC0026,2021,Mar,Karnataka,Bengaluru,National Health Mission (NHM),110811,391,511,43,63,47
REC0027,2025,Mar,Tamil Nadu,Madurai,CARE India,160536,788,1117,60,56,98
REC0028,2024,Jun,Karnataka,Mysuru,Doctors For You,135454,135,1031,59,9,58
REC0029,2022,Feb,Uttar Pradesh,Varanasi,National Health Mission (NHM),71524,566,1139,160,44,20
REC0030,2021,Jun,Tamil Nadu,Chennai,Doctors For You,131994,527,772,64,54,88
REC0031,2025,May,Uttar Pradesh,Varanasi,WHO India,84570,851,1086,185,82,57
REC0032,2021,Jan,Uttar Pradesh,Varanasi,National Health Mission (NHM),178058,880,202,87,35,48
REC0033,2022,Jun,Uttar Pradesh,Lucknow,National Health Mission (NHM),51717,594,1055,76,0,88
REC0034,2025,Jan,Uttar Pradesh,Varanasi,National Health Mission (NHM),51483,385,602,117,70,28
REC0035,2024,Jan,Tamil Nadu,Madurai,WHO India,60617,975,977,38,46,64
REC0036,2023,Mar,Karnataka,Mysuru,Doctors For You,188519,316,622,83,115,0
REC0037,2021,Feb,Uttar Pradesh,Varanasi,National Health Mission (NHM),104013,155,1263,5,146,81
