Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Malaria_Cases,Dengue_Cases,TB_Cases,Source_File
F1_0,2018,Feb,Karnataka,Mysuru,NHM,132186,118,1152,1913,16,93,65,File_1
F1_1,2017,May,Maharashtra,Nagpur,Smile Foundation,92999,279,1398,389,163,121,49,File_1
F1_2,2019,Jan,Uttar Pradesh,Varanasi,NHM,60836,283,199,288,250,59,90,File_1
F1_3,2018,Jan,Tamil Nadu,Madurai,CARE India,133130,57,380,2265,236,40,64,File_1
F1_4,2017,May,Uttar Pradesh,Agra,NFHS,163486,267,667,208,8,69,62,File_1
F1_5,2019,Jan,Karnataka,Mysuru,NFHS,297098,210,550,1182,72,137,56,File_1
F1_6,2019,Jan,Uttar Pradesh,Agra,UNICEF India,59758,192,1115,2218,110,193,31,File_1
F1_7,2018,Jan,Tamil Nadu,Chennai,CARE India,122789,61,1463,429,99,154,68,File_1
F1_8,2018,Apr,Karnataka,Bengaluru,CARE India,291285,191,640,2363,134,96,16,File_1
F1_9,2018,Feb,Maharashtra,Nagpur,NFHS,104225,291,1119,1001,90,43,136,File_1
F1_10,2017,Apr,Uttar Pradesh,Lucknow,HMIS,112642,112,1403,2200,60,33,51,File_1
F1_11,2018,May,Tamil Nadu,Madurai,CARE India,187170,294,577,2114,225,45,47,File_1
F1_12,2017,Mar,Bihar,Gaya,NFHS,119301,264,591,508,46,142,33,File_1
F1_13,2019,May,Karnataka,Hubli,CARE India,148864,172,1278,2358,196,36,113,File_1
F1_14,2019,Apr,Uttar Pradesh,Lucknow,NHM,119314,229,1404,1451,125,10,71,File_1
F1_15,2018,Mar,Karnataka,Hubli,UNICEF India,76374,143,425,2059,67,155,38,File_1
F1_16,2017,Mar,Maharashtra,Pune,UNICEF India,81298,60,439,1262,45,164,5,File_1
F1_17,2019,Feb,Bihar,Gaya,CARE India,284230,134,386,1881,163,70,101,File_1
F1_18,2019,Mar,Bihar,Gaya,UNICEF India,86922,166,781,758,232,122,50,File_1
F1_19,2018,Jan,Bihar,Gaya,WHO India,171352,148,676,909,259,45,124,File_1
F1_20,2017,Feb,Bihar,Gaya,HMIS,87675,145,770,808,287,151,74,File_1
F1_21,2019,Jan,Uttar Pradesh,Lucknow,NFHS,97270,262,330,330,266,175,149,File_1
F1_22,2017,Apr,Karnataka,Mysuru,NFHS,71105,76,135,636,70,138,108,File_1
F1_23,2017,Jan,Tamil Nadu,Chennai,CARE India,109495,90,559,1104,224,145,129,File_1
F1_24,2019,Jan,Gujarat,Vadodara,NFHS,156029,123,1118,2059,295,93,29,File_1
F1_25,2018,Feb,Gujarat,Vadodara,UNICEF India,283315,292,202,505,156,153,104,File_1
F1_26,2019,Mar,Maharashtra,Mumbai,HMIS,297920,186,566,1752,281,161,26,File_1
F1_27,2017,Mar,Bihar,Gaya,NHM,214413,168,893,919,235,138,127,File_1
F1_28,2017,Apr,West Bengal,Kolkata,Smile Foundation,64377,130,1442,1341,108,52,0,File_1
F1_29,2019,Jan,Gujarat,Ahmedabad,NHM,148935,113,1321,425,19,68,77,File_1
F1_30,2019,Feb,Gujarat,Ahmedabad,NHM,101364,172,356,369,174,130,122,File_1
F1_31,2018,Mar,Karnataka,Hubli,HMIS,268196,113,141,499,114,176,61,File_1
F1_32,2019,Feb,Maharashtra,Nagpur,CARE India,253102,184,1199,1140,74,108,61,File_1
F1_33,2017,Mar,Gujarat,Ahmedabad,HMIS,127339,83,300,2443,253,54,124,File_1
F1_34,2017,Jan,Uttar Pradesh,Lucknow,WHO India,159650,144,678,1836,53,200,98,File_1
F1_35,2017,Jan,Maharashtra,Pune,WHO India,140876,145,963,1479,236,5,138,File_1
F1_36,2017,Feb,Uttar Pradesh,Agra,NHM,235560,192,789,915,43,161,78,File_1
F1_37,2018,May,West Bengal,Howrah,Smile Foundation,297759,182,113,1371,31,139,114,File_1
F1_38,2019,May,Gujarat,Ahmedabad,WHO India,247622,216,1000,1783,267,152,10,File_1
F1_39,2019,May,Tamil Nadu,Chennai,Smile Foundation,268022,56,889,1613,235,62,23,File_1
F1_40,2018,Mar,Uttar Pradesh,Varanasi,UNICEF India,205709,42,914,1315,275,149,61,File_1
F1_41,2017,Jan,Maharashtra,Mumbai,NHM,87546,189,124,1376,154,144,106,File_1
F1_42,2017,May,Tamil Nadu,Madurai,HMIS,268996,190,187,2287,7,192,137,File_1
F1_43,2017,Feb,Bihar,Muzaffarpur,UNICEF India,128356,261,352,1841,154,18,92,File_1
F1_44,2017,Jan,Tamil Nadu,Madurai,UNICEF India,144858,97,309,881,83,133,30,File_1
F1_45,2017,Jan,Uttar Pradesh,Varanasi,NFHS,97694,245,263,1326,201,122,27,File_1
F1_46,2017,May,Tamil Nadu,Coimbatore,CARE India,269304,134,326,1027,123,142,18,File_1
F1_47,2019,May,Maharashtra,Nagpur,NFHS,106120,210,655,493,76,112,131,File_1
F1_48,2018,Feb,Bihar,Muzaffarpur,HMIS,110977,284,130,209,101,154,76,File_1
F1_49,2018,May,Uttar Pradesh,Varanasi,CARE India,243304,95,290,611,283,2,62,File_1
F1_50,2018,Jan,Gujarat,Vadodara,WHO India,111629,33,667,814,229,148,35,File_1
F1_51,2018,Feb,Uttar Pradesh,Varanasi,Smile Foundation,179135,65,356,1653,179,113,75,File_1
F1_52,2019,Mar,Maharashtra,Mumbai,UNICEF India,153501,166,146,927,239,196,21,File_1
F1_53,2018,May,Tamil Nadu,Coimbatore,NFHS,227238,61,450,350,60,173,126,File_1
F1_54,2018,Feb,Bihar,Patna,HMIS,101553,90,811,1849,210,123,111,File_1
F1_55,2017,Jan,Karnataka,Mysuru,CARE India,199895,183,1363,2445,232,25,91,File_1
F1_56,2017,Mar,Maharashtra,Nagpur,NHM,60037,99,543,1227,118,24,123,File_1
F1_57,2017,May,West Bengal,Kolkata,CARE India,88355,139,525,839,180,134,74,File_1
F1_58,2017,Mar,West Bengal,Siliguri,CARE India,144901,234,188,1359,152,101,136,File_1
F1_59,2018,Apr,Gujarat,Ahmedabad,WHO India,129513,280,1471,954,285,124,34,File_1
F1_60,2019,Feb,Uttar Pradesh,Varanasi,NFHS,233140,167,1288,838,85,75,40,File_1
F1_61,2018,May,West Bengal,Siliguri,CARE India,54449,34,1239,2067,132,98,90,File_1
F1_62,2019,Apr,Bihar,Muzaffarpur,HMIS,57212,76,132,2428,176,165,124,File_1
F1_63,2018,Mar,West Bengal,Kolkata,HMIS,59231,32,972,512,290,112,74,File_1
F1_64,2017,May,Gujarat,Surat,WHO India,223506,169,1236,1937,278,116,20,File_1
F1_65,2018,Feb,Tamil Nadu,Chennai,Smile Foundation,156736,44,1005,279,183,171,114,File_1
F1_66,2017,Feb,Karnataka,Hubli,WHO India,158953,123,215,1321,218,125,54,File_1
F1_67,2019,Apr,Gujarat,Ahmedabad,CARE India,190521,122,600,312,76,51,36,File_1
F1_68,2017,May,West Bengal,Kolkata,NFHS,154356,46,623,702,165,99,56,File_1
F1_69,2019,Mar,Karnataka,Mysuru,HMIS,248797,206,1067,2166,81,181,77,File_1
F1_70,2018,Jan,Karnataka,Bengaluru,Smile Foundation,217904,87,1482,912,23,12,113,File_1
F1_71,2018,Jan,West Bengal,Siliguri,CARE India,299042,272,220,688,131,30,54,File_1
F1_72,2018,Jan,Karnataka,Mysuru,CARE India,88933,148,530,641,181,9,74,File_1
F1_73,2017,Feb,Uttar Pradesh,Lucknow,Smile Foundation,52004,300,535,1406,277,150,63,File_1
F1_74,2018,Mar,Gujarat,Vadodara,NHM,142976,216,628,639,273,72,93,File_1
F1_75,2019,Mar,Gujarat,Ahmedabad,Smile Foundation,122631,248,1273,1938,274,56,24,File_1
F1_76,2019,May,West Bengal,Siliguri,WHO India,132445,263,842,306,229,10,76,File_1
F1_77,2019,Jan,Tamil Nadu,Chennai,NFHS,94720,154,618,2138,205,165,29,File_1
F1_78,2017,Mar,Gujarat,Vadodara,Smile Foundation,292185,236,299,1513,293,167,136,File_1
F1_79,2019,Apr,West Bengal,Kolkata,CARE India,223487,183,1235,452,201,24,111,File_1
F1_80,2018,Mar,Bihar,Gaya,HMIS,148585,128,1247,568,49,150,108,File_1
F1_81,2018,Feb,West Bengal,Kolkata,Smile Foundation,246143,263,111,475,199,7,41,File_1
F1_82,2018,May,Maharashtra,Nagpur,NFHS,177492,292,893,624,21,100,7,File_1
F1_83,2017,Mar,Tamil Nadu,Madurai,CARE India,140563,104,976,1391,37,80,9,File_1
F1_84,2018,May,Uttar Pradesh,Agra,CARE India,197622,51,1190,2090,15,95,110,File_1
F1_85,2019,Jan,Tamil Nadu,Coimbatore,NHM,190481,38,885,1858,174,39,38,File_1
F1_86,2017,Mar,Bihar,Gaya,CARE India,121811,294,488,2131,161,191,71,File_1
F1_87,2019,Jan,Maharashtra,Mumbai,NHM,249038,205,320,272,37,118,141,File_1
F1_88,2019,Apr,Uttar Pradesh,Agra,NHM,193586,270,425,1812,144,78,23,File_1
F1_89,2017,Apr,Gujarat,Vadodara,UNICEF India,116306,261,1107,1704,267,83,121,File_1
F1_90,2018,Feb,West Bengal,Kolkata,NFHS,78022,69,963,607,129,1,95,File_1
F1_91,2018,Apr,Bihar,Patna,NFHS,93051,143,1332,1158,101,190,65,File_1
F1_92,2017,Feb,Tamil Nadu,Madurai,NHM,141446,232,1471,613,44,134,28,File_1
F1_93,2017,Apr,Tamil Nadu,Chennai,NFHS,108950,133,405,646,66,41,27,File_1
F1_94,2018,Apr,Maharashtra,Pune,Smile Foundation,134115,294,401,652,296,82,29,File_1
