Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
FILE1_REC00000,2019,Jul,Gujarat,Vadodara,UNICEF India,268210,214,1375,1781,376,59,234,154,Medium
FILE1_REC00001,2018,May,Maharashtra,Nagpur,UNICEF India,277682,51,1070,410,675,368,262,188,High
FILE1_REC00002,2020,Mar,Maharashtra,Nagpur,Smile Foundation,176027,209,800,2047,844,200,62,56,High
FILE1_REC00003,2018,Aug,Maharashtra,Pune,NFHS,238741,208,851,1678,275,71,235,49,Low
FILE1_REC00004,2020,Apr,Gujarat,Surat,NFHS,103315,247,224,362,830,295,8,200,Low
FILE1_REC00005,2020,May,Gujarat,Ahmedabad,UNICEF India,163013,212,1106,1754,1047,190,92,61,Low
FILE1_REC00006,2020,Mar,Tamil Nadu,Chennai,NHM,114536,135,829,1646,819,277,262,89,Low
FILE1_REC00007,2018,May,Tamil Nadu,Coimbatore,UNICEF India,204523,148,749,995,985,353,187,147,Low
FILE1_REC00008,2020,Jun,Gujarat,Vadodara,WHO India,98886,269,1405,855,1183,281,87,57,Medium
FILE1_REC00009,2019,Jul,Maharashtra,Nagpur,WHO India,215445,166,744,2111,695,113,19,110,Low
FILE1_REC00010,2019,Aug,Gujarat,Ahmedabad,WHO India,286915,64,110,1042,1010,270,112,95,High
FILE1_REC00011,2020,May,Karnataka,Hubli,UNICEF India,74844,273,1058,1605,223,305,242,55,High
FILE1_REC00012,2019,May,Uttar Pradesh,Agra,Smile Foundation,263926,114,626,1418,80,269,157,51,Medium
FILE1_REC00013,2020,Apr,Uttar Pradesh,Lucknow,CARE India,268665,93,1196,872,141,376,106,28,Medium
FILE1_REC00014,2019,May,Tamil Nadu,Coimbatore,WHO India,144384,268,1382,1555,473,46,204,72,Low
FILE1_REC00015,2018,May,Karnataka,Hubli,NHM,219133,298,718,2285,145,80,154,174,Medium
FILE1_REC00016,2019,Aug,Tamil Nadu,Coimbatore,NHM,165108,147,560,1094,152,150,172,114,Medium
FILE1_REC00017,2018,Jan,Tamil Nadu,Madurai,WHO India,203336,66,1234,305,395,314,48,70,Medium
FILE1_REC00018,2019,Jul,Tamil Nadu,Coimbatore,WHO India,178805,141,867,482,999,211,196,1,Low
FILE1_REC00019,2019,Jan,Maharashtra,Nagpur,UNICEF India,292957,149,1124,663,154,173,199,98,Medium
FILE1_REC00020,2018,Jan,Karnataka,Hubli,CARE India,149072,79,1190,554,483,214,7,185,High
FILE1_REC00021,2019,Aug,Tamil Nadu,Chennai,UNICEF India,104028,232,626,1890,398,41,117,85,Medium
FILE1_REC00022,2018,Feb,Maharashtra,Mumbai,CARE India,224118,255,376,1434,849,397,193,140,Low
