Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
FILE7_REC00000,2020,Jun,Maharashtra,Pune,NHM,226951,295,285,1976,1196,104,50,110,Medium
FILE7_REC00001,2019,Jul,Maharashtra,Mumbai,CARE India,88439,119,136,768,451,389,240,89,High
FILE7_REC00002,2020,Jul,Tamil Nadu,Chennai,Smile Foundation,97290,141,990,1868,1001,165,115,52,Medium
FILE7_REC00003,2020,Mar,Karnataka,Mysuru,Smile Foundation,129258,150,728,973,396,60,296,118,High
FILE7_REC00004,2019,Jan,Uttar Pradesh,Agra,CARE India,215262,299,1171,1531,697,158,261,79,High
FILE7_REC00005,2020,Mar,Uttar Pradesh,Varanasi,CARE India,277967,207,128,286,899,230,65,200,High
FILE7_REC00006,2019,Jul,Maharashtra,Mumbai,CARE India,205134,264,1095,2380,374,256,251,176,High
FILE7_REC00007,2020,Apr,Maharashtra,Nagpur,NHM,75623,101,1158,2141,660,188,102,90,High
FILE7_REC00008,2020,Jul,Tamil Nadu,Madurai,UNICEF India,250764,255,1327,259,208,123,152,39,Medium
FILE7_REC00009,2020,May,Tamil Nadu,Coimbatore,CARE India,165576,78,626,227,600,142,300,38,Low
FILE7_REC00010,2020,Jul,Gujarat,Ahmedabad,Smile Foundation,154856,171,1359,2110,956,48,133,107,Low
FILE7_REC00011,2019,Jul,Tamil Nadu,Madurai,NHM,251047,62,288,496,195,165,260,188,High
FILE7_REC00012,2020,Jul,Maharashtra,Mumbai,UNICEF India,152226,142,132,1126,710,103,106,153,Low
FILE7_REC00013,2019,Apr,Tamil Nadu,Coimbatore,CARE India,151434,95,653,371,1063,75,129,15,Low
FILE7_REC00014,2019,Jan,Uttar Pradesh,Agra,NHM,292990,101,856,2080,231,360,5,107,Medium
FILE7_REC00015,2020,Feb,Tamil Nadu,Madurai,NHM,167260,136,236,593,891,363,26,98,Low
FILE7_REC00016,2020,Mar,Tamil Nadu,Chennai,HMIS,231877,78,316,2146,969,127,284,15,Medium
FILE7_REC00017,2019,Apr,Gujarat,Surat,NHM,71687,174,259,589,52,34,229,65,High
