Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P15_0,2020,Q2,Kerala,Kozhikode,Nutrition Program,State Health Society Rajasthan,93136,49546,142,3775,258,95,73
P15_1,2022,Q4,Rajasthan,Jaipur,TB Control,State Health Society Rajasthan,138581,46003,115,3263,57,94,98
P15_2,2021,Q3,Odisha,Cuttack,TB Control,Assam NRHM,76655,18596,28,3785,564,94,73
P15_3,2017,Q2,Rajasthan,Jodhpur,Child Immunization,Assam NRHM,81689,47237,164,3068,790,36,96
P15_4,2018,Q3,Punjab,Patiala,Child Immunization,Kerala Health Department,298079,34819,48,3118,368,168,78
P15_5,2018,Q4,Kerala,Kozhikode,Child Immunization,Assam NRHM,226782,25606,161,4739,477,160,73
P15_6,2022,Q2,Odisha,Bhubaneswar,Child Immunization,UNICEF India,146208,32818,181,2648,260,157,61
P15_7,2019,Q1,Punjab,Patiala,Child Immunization,CARE India,360247,43110,108,3335,106,36,77
P15_8,2017,Q2,Punjab,Ludhiana,Maternal Health,Kerala Health Department,286083,34169,80,1601,349,35,92
P15_9,2021,Q4,Kerala,Kozhikode,TB Control,CARE India,222097,20839,153,1630,623,83,66
P15_10,2019,Q4,Kerala,Kozhikode,Malaria Control,Assam NRHM,166989,32097,84,2696,305,177,73
P15_11,2018,Q2,Odisha,Cuttack,Maternal Health,NHM Odisha,398956,47521,186,1240,459,197,88
P15_12,2018,Q2,Rajasthan,Udaipur,Malaria Control,CARE India,197409,36901,212,892,697,165,97
P15_13,2019,Q4,Punjab,Amritsar,Malaria Control,CARE India,292972,15506,179,2368,186,132,96
P15_14,2017,Q3,Assam,Guwahati,TB Control,Punjab Health Mission,260442,13068,79,2613,219,148,81
P15_15,2017,Q4,Kerala,Kochi,TB Control,CARE India,86343,16169,163,2631,611,74,75
P15_16,2019,Q3,Kerala,Kozhikode,Nutrition Program,NHM Odisha,313516,27470,48,3769,656,45,95
P15_17,2022,Q3,Punjab,Ludhiana,Maternal Health,Assam NRHM,48543,26682,22,3703,615,160,95
P15_18,2021,Q1,Rajasthan,Udaipur,Malaria Control,Kerala Health Department,238231,7937,98,162,172,122,69
P15_19,2017,Q2,Assam,Dibrugarh,Malaria Control,State Health Society Rajasthan,208071,6770,151,3000,216,58,65
P15_20,2018,Q4,Rajasthan,Jodhpur,Malaria Control,Assam NRHM,368386,18242,133,3474,566,40,88
P15_21,2022,Q3,Odisha,Bhubaneswar,Maternal Health,NHM Odisha,130978,41954,203,650,61,154,85
P15_22,2019,Q2,Assam,Silchar,Maternal Health,UNICEF India,58201,19742,213,460,224,57,95
P15_23,2022,Q2,Punjab,Ludhiana,TB Control,State Health Society Rajasthan,263354,46186,43,4892,448,139,76
P15_24,2022,Q2,Punjab,Amritsar,Child Immunization,Kerala Health Department,113576,16225,226,3841,224,114,95
P15_25,2021,Q3,Odisha,Bhubaneswar,TB Control,Punjab Health Mission,255061,13581,107,4604,767,101,71
P15_26,2021,Q1,Rajasthan,Jaipur,Maternal Health,UNICEF India,182965,23854,55,3411,530,146,90
P15_27,2017,Q2,Kerala,Thrissur,TB Control,Kerala Health Department,174371,8877,178,2207,317,20,98
P15_28,2019,Q4,Punjab,Amritsar,TB Control,Punjab Health Mission,239110,8161,211,3444,539,134,87
P15_29,2022,Q4,Punjab,Amritsar,Nutrition Program,UNICEF India,380726,20267,90,558,712,179,66
P15_30,2019,Q2,Odisha,Bhubaneswar,Nutrition Program,Kerala Health Department,133239,39206,137,4896,263,3,86
P15_31,2018,Q1,Kerala,Kochi,Nutrition Program,CARE India,146858,45761,217,4465,295,191,89
P15_32,2022,Q2,Assam,Guwahati,Malaria Control,Punjab Health Mission,101116,47943,185,4551,518,16,94
P15_33,2019,Q3,Rajasthan,Jaipur,Nutrition Program,Punjab Health Mission,138763,29059,169,2457,335,63,60
P15_34,2021,Q3,Rajasthan,Jaipur,TB Control,UNICEF India,66655,9821,200,3220,126,139,86
P15_35,2020,Q1,Kerala,Thrissur,Nutrition Program,NHM Odisha,79717,45698,88,2790,77,198,72
P15_36,2017,Q1,Rajasthan,Jaipur,Child Immunization,Kerala Health Department,127382,40333,106,2124,264,120,65
P15_37,2022,Q3,Kerala,Thrissur,TB Control,Punjab Health Mission,90841,27275,49,4795,363,73,76
P15_38,2020,Q4,Rajasthan,Jodhpur,Child Immunization,NHM Odisha,237696,13053,122,3898,312,163,94
P15_39,2022,Q4,Odisha,Cuttack,Child Immunization,NHM Odisha,278453,17691,199,1066,207,107,83
P15_40,2018,Q1,Odisha,Cuttack,Child Immunization,Assam NRHM,194987,13568,88,4920,582,195,65
