village_name,state,district,year,problem_type,severity,affected_families,ngo_name,ngo_work
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Tuberculosis; Low Immunization Coverage,Medium,20886,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Tuberculosis; Low Immunization Coverage,Medium,20886,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Tuberculosis; Low Immunization Coverage,Medium,20886,CybageAsha,CybageAsha is a charitable registered trust founded under the Bombay Public Trust Act 1950 in October 2003 The primary aims of the foundation are rural development alcohol deaddiction social welfare a
Nagpur,Maharashtra,Nagpur,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,67741,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Nagpur,Maharashtra,Nagpur,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,67741,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Nagpur,Maharashtra,Nagpur,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,67741,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Lucknow,Uttar Pradesh,Lucknow,2021,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,31109,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Lucknow,Uttar Pradesh,Lucknow,2021,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,31109,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Lucknow,Uttar Pradesh,Lucknow,2021,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,31109,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Pune,Maharashtra,Pune,2020,Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,73000,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Pune,Maharashtra,Pune,2020,Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,73000,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Pune,Maharashtra,Pune,2020,Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,73000,Apnalaya,Apnalaya Our Space in English is a non profit organization founded in 1973 by Tom Holland who was then the Australian Consul General in Bombay At that time it was called Holland Welfare Centre which w
Surat,Gujarat,Surat,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Low,42787,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
